BedBugs,BlockedExits,BlueBinRequest,BuildingPermit,BulkHouseholdItems,CertofUseBar,CertofUseFoodStore,CertofUseRestaurant,CleanUpRqstPublicProp,ComplaintReqstGeneral,ConstDemoDebris,CornersNeedSnowRemoval,Demolition,ElectricalHazard,FaultyEquipment,FireAlarm,FireSafety,GraffitiPrivateProperty,GraffitiPublicProperty,Heating,IllegalTrashSetOut,Infestation,MedicalWasteRefused,NoSmokeDetectors,Other,OutdoorIllegalBurning,OverCapacity,OvergrownVegPublic,OvergrowthPrivateOcc,PreventativeCodeEnforce,ExteriorPropertyMaintenance,InteriorPropertyMaintenance,RepairCreekFencing,SanitationSpecialReqst,SewerBackUp,SprinklerSystem,StructuralIssues,SuppressionNotSprinkler,TenantSafetyConcerns,TrashDebrisPrivateOcc,TreeInspectProblemReq,TreeLimbStumpRemoval,UnsafeConditions,VacantHouseOpentoEntry,VacantLotOvergrown,VacantLotTrashDebris,VacantStructureHazard,VacantIllegalOccupancy,WaterShopAllComplaints,YardWaste,ZoningViolations,AllComplaints
115,,,1,,27,6,190,,5,,,30,,,119,139,,,,4,7,,,,,,,94,,33,4,,,,,,,,5,,,57,,,,,,,,59,115
26,,,1,,18,6,190,,9,,,30,,,119,139,,,,4,32,,,,,,,94,,33,4,,,,,,,,5,,,51,,,,,,,,59,26
5,,,1,,174,6,190,,4,,,20,,,119,139,,,,5,10,,,,,,,94,,33,5,,,,,,,,14,,,57,,,,,,,,81,5
126,,,123,,527,375,190,,5,,,7,,,125,28,,,,5,8,,,,,,,6,,33,5,,,,,,,,14,,,57,,,,,,,,90,126
16,,,123,,112,375,190,,5,,,13,,,125,11,,,,8,7,,,,,,,6,,33,6,,,,,,,,6,,,57,,,,,,,,158,16
13,,,123,,118,375,54,,5,,,8,,,117,14,,,,17,91,,,,,,,5,,33,5,,,,,,,,6,,,57,,,,,,,,9,13
17,,,28,,118,34,178,,4,,,64,,,117,10,,,,11,91,,,,,,,5,,18,4,,,,,,,,5,,,57,,,,,,,,8,17
17,,,5,,399,34,67,,24,,,64,,,29,34,,,,4,100,,,,,,,11,,17,3,,,,,,,,5,,,57,,,,,,,,117,17
66,,,5,,399,26,78,,5,,,301,,,27,34,,,,12,100,,,,,,,55,,5,55,,,,,,,,7,,,28,,,,,,,,28,66
66,,,5,,223,26,694,,6,,,376,,,27,304,,,,5,92,,,,,,,24,,51,55,,,,,,,,14,,,28,,,,,,,,168,66
66,,,15,,223,26,93,,6,,,296,,,27,304,,,,11,75,,,,,,,24,,13,6,,,,,,,,14,,,28,,,,,,,,168,66
43,,,19,,223,26,93,,6,,,296,,,27,304,,,,11,75,,,,,,,10,,20,6,,,,,,,,14,,,8,,,,,,,,200,43
162,,,11,,13,26,70,,6,,,375,,,27,304,,,,5,75,,,,,,,7,,17,15,,,,,,,,6,,,79,,,,,,,,200,162
22,,,3,,11,27,63,,6,,,375,,,8,304,,,,8,75,,,,,,,7,,7,11,,,,,,,,8,,,79,,,,,,,,200,22
27,,,171,,9,31,6,,6,,,393,,,8,304,,,,2,75,,,,,,,8,,9,7,,,,,,,,29,,,79,,,,,,,,7,27
126,,,10,,6,31,6,,1,,,393,,,7,241,,,,5,75,,,,,,,7,,5,7,,,,,,,,6,,,47,,,,,,,,,126
115,,,42,,308,34,25,,1,,,228,,,9,65,,,,5,75,,,,,,,7,,11,7,,,,,,,,6,,,45,,,,,,,,,115
72,,,42,,9,32,32,,1,,,194,,,26,54,,,,3,75,,,,,,,8,,7,4,,,,,,,,6,,,36,,,,,,,,,72
72,,,27,,9,32,25,,6,,,449,,,10,54,,,,3,35,,,,,,,8,,4,5,,,,,,,,4,,,40,,,,,,,,,72
72,,,29,,68,57,23,,5,,,408,,,13,25,,,,5,6,,,,,,,33,,25,6,,,,,,,,5,,,40,,,,,,,,,72
115,,,32,,38,42,23,,5,,,93,,,7,25,,,,5,6,,,,,,,13,,5,5,,,,,,,,5,,,40,,,,,,,,,115
115,,,32,,38,40,23,,8,,,93,,,726,20,,,,5,9,,,,,,,13,,30,5,,,,,,,,6,,,14,,,,,,,,,115
115,,,88,,31,60,23,,8,,,56,,,35,20,,,,21,8,,,,,,,13,,30,5,,,,,,,,20,,,45,,,,,,,,,115
115,,,21,,30,6,12,,1,,,33,,,32,29,,,,4,164,,,,,,,32,,13,6,,,,,,,,14,,,15,,,,,,,,,115
115,,,12,,51,6,34,,16,,,33,,,32,15,,,,8,164,,,,,,,12,,21,6,,,,,,,,15,,,15,,,,,,,,,115
106,,,110,,51,13,34,,26,,,195,,,32,15,,,,6,164,,,,,,,13,,3,6,,,,,,,,4,,,6,,,,,,,,,106
64,,,11,,51,538,34,,7,,,195,,,126,15,,,,6,43,,,,,,,13,,3,11,,,,,,,,4,,,6,,,,,,,,,64
64,,,181,,7,538,8,,11,,,134,,,126,15,,,,6,22,,,,,,,7,,18,8,,,,,,,,5,,,156,,,,,,,,,64
99,,,153,,682,538,9,,11,,,80,,,507,15,,,,21,22,,,,,,,33,,16,8,,,,,,,,5,,,28,,,,,,,,,99
99,,,153,,53,24,7,,11,,,7,,,53,15,,,,14,15,,,,,,,33,,16,11,,,,,,,,5,,,37,,,,,,,,,99
99,,,153,,32,11,7,,11,,,6,,,53,15,,,,14,140,,,,,,,31,,6,13,,,,,,,,4,,,23,,,,,,,,,99
1,,,47,,32,11,101,,6,,,184,,,51,15,,,,6,140,,,,,,,31,,6,8,,,,,,,,5,,,23,,,,,,,,,1
64,,,47,,,11,84,,6,,,184,,,45,15,,,,6,140,,,,,,,22,,6,11,,,,,,,,5,,,23,,,,,,,,,64
64,,,13,,,200,80,,6,,,8,,,755,15,,,,9,107,,,,,,,22,,8,8,,,,,,,,4,,,23,,,,,,,,,64
64,,,6,,,200,80,,11,,,391,,,755,22,,,,7,107,,,,,,,6,,66,11,,,,,,,,15,,,23,,,,,,,,,64
13,,,90,,,200,84,,8,,,8,,,755,22,,,,5,11,,,,,,,8,,4,11,,,,,,,,20,,,23,,,,,,,,,13
74,,,37,,,20,84,,8,,,8,,,755,17,,,,8,3,,,,,,,8,,44,5,,,,,,,,8,,,2,,,,,,,,,74
5,,,31,,,20,84,,13,,,10,,,755,17,,,,19,3,,,,,,,6,,3,5,,,,,,,,7,,,800,,,,,,,,,5
5,,,9,,,324,45,,13,,,140,,,160,17,,,,38,59,,,,,,,40,,7,8,,,,,,,,6,,,800,,,,,,,,,5
17,,,13,,,324,45,,6,,,383,,,619,14,,,,28,59,,,,,,,36,,7,5,,,,,,,,6,,,800,,,,,,,,,17
86,,,144,,,324,24,,35,,,12,,,619,210,,,,28,20,,,,,,,36,,9,7,,,,,,,,6,,,800,,,,,,,,,86
71,,,22,,,324,19,,25,,,15,,,619,210,,,,28,47,,,,,,,21,,4,8,,,,,,,,6,,,552,,,,,,,,,71
73,,,34,,,36,19,,11,,,23,,,619,210,,,,21,47,,,,,,,20,,6,27,,,,,,,,8,,,482,,,,,,,,,73
73,,,361,,,36,68,,14,,,86,,,619,210,,,,17,35,,,,,,,7,,6,6,,,,,,,,6,,,482,,,,,,,,,73
7,,,77,,,17,58,,7,,,86,,,,57,,,,7,4,,,,,,,92,,6,6,,,,,,,,8,,,482,,,,,,,,,7
9,,,36,,,19,58,,7,,,167,,,,57,,,,15,4,,,,,,,92,,38,20,,,,,,,,8,,,482,,,,,,,,,9
156,,,125,,,150,45,,7,,,167,,,,30,,,,6,6,,,,,,,7,,6,5,,,,,,,,11,,,482,,,,,,,,,156
130,,,57,,,149,40,,7,,,139,,,,270,,,,6,5,,,,,,,7,,7,5,,,,,,,,12,,,482,,,,,,,,,130
34,,,127,,,512,186,,7,,,82,,,,270,,,,6,5,,,,,,,7,,7,5,,,,,,,,12,,,25,,,,,,,,,34
